CompanyName	Value(1000s)	Shares	OrderType
1 800 FLOWERS COM	9168	856840	Market
1347 PPTY INS HLDGS INC	90	11586	Market
1ST CONSTITUTION BANCORP	33	1772	Market
1ST SOURCE CORP	21382	478765	Market
21VIANET GROUP INC	2081	296814	Market
22ND CENTY GROUP INC	16	14483	Market
2U INC	33280	1103824	Market
3-D SYS CORP DEL	87824	6608259	Market
3M CO	1592376	8917379	Market
500 COM LTD	2212	144286	Market
51JOB INC	3968	117396	Market
58 COM INC	31978	1142068	Market
8POINT3 ENERGY PARTNERS LP	87	6727	Market
8X8 INC NEW	98878	6914579	Market
A H BELO CORP	321	50594	Market
A MARK PRECIOUS METALS INC	335	17199	Market
A10 NETWORKS INC	11758	1414905	Market
AAC HLDGS INC	2320	320410	Market
AAON INC	100932	3053927	Market
AAR CORP	102679	3106785	Market
AARONS INC	124844	3902598	Market
ABAXIS INC	92033	1744043	Market
ABBOTT LABS	911873	23740518	Market
ABBVIE INC	1389206	22184702	Market
ABEONA THERAPEUTICS INC	203	41908	Market
ABERCROMBIE & FITCH CO	66409	5534075	Market
ABIOMED INC	184907	1640991	Market
ABM INDS INC	181613	4446945	Market
ABRAXAS PETE CORP	10374	4036718	Market
ACACIA COMMUNICATIONS INC	10137	164168	Market
ACACIA RESH CORP	8295	1276175	Market
ACADIA HEALTHCARE COMPANY IN	33021	997604	Market
ACADIA PHARMACEUTICALS INC	77992	2704309	Market
ACADIA RLTY TR	223186	6829445	Market
ACCELERATE DIAGNOSTICS INC	14202	684453	Market
ACCELERON PHARMA INC	34390	1347553	Market
ACCENTURE PLC IRELAND	1203853	10277922	Market
ACCESS NATL CORP	7614	274270	Market
ACCO BRANDS CORP	42632	3266803	Market
ACCURAY INC	13212	2872230	Market
ACELRX PHARMACEUTICALS INC	2883	1108658	Market
ACETO CORP	53781	2447945	Market
ACHAOGEN INC	946	72653	Market
ACHILLION PHARMACEUTICALS IN	22349	5411414	Market
ACI WORLDWIDE INC	129355	7126996	Market
ACLARIS THERAPEUTICS INC	9830	362192	Market
ACME UTD CORP	19	740	Market
ACNB CORP	6487	207568	Market
ACORDA THERAPEUTICS INC	81030	4310090	Market
ACORDA THERAPEUTICS INC	66	87000	Market
ACRE RLTY INVS INC	2	1683	Market
ACTINIUM PHARMACEUTICALS INC	92	104967	Market
ACTIVISION BLIZZARD INC	340493	9429340	Market
ACTUA CORP	16588	1184850	Market
ACTUANT CORP	121960	4699796	Market
ACUITY BRANDS INC	173955	753510	Market
ACURA PHARMACEUTICALS INC	8	10515	Market
ACUSHNET HOLDINGS CORP	13099	664563	Market
ACXIOM CORP	124267	4636840	Market
ADAMAS PHARMACEUTICALS INC	14445	854745	Market
ADAMIS PHARMACEUTICALS CORP	159	50604	Market
ADAMS RES & ENERGY INC	2872	72435	Market
ADCARE HEALTH SYSTEMS INC	72	49162	Market
ADDUS HOMECARE CORP	8301	236819	Market
ADDVANTAGE TECHNOLOGIES GP I	3	1632	Market
ADECOAGRO S A	5438	523920	Market
ADEPTUS HEALTH INC	9165	1199556	Market
ADESTO TECHNOLOGIES CORP	40	21462	Market
ADIENT PLC	55386	945152	Market
ADMA BIOLOGICS INC	93	18213	Market
ADOBE SYS INC	826040	8023703	Market
ADTRAN INC	86581	3873853	Market
ADURO BIOTECH INC	22760	1996489	Market
ADVANCE AUTO PARTS INC	210499	1244674	Market
ADVANCED DISP SVCS INC DEL	14981	674193	Market
ADVANCED DRAIN SYS INC DEL	21321	1034979	Market
ADVANCED ENERGY INDS	166759	3045822	Market
ADVANCED MICRO DEVICES INC	535812	47249762	Market
ADVANCED MICRO DEVICES INC	184	117000	Market
ADVANCEPIERRE FOODS HLDGS IN	19628	659108	Market
ADVANSIX INC	38626	1744617	Market
ADVANTAGE OIL & GAS LTD	2	288	Market
ADVAXIS INC	8253	1152657	Market
ADVERUM BIOTECHNOLOGIES INC	2200	758714	Market
ADVISORY BRD CO	41626	1251898	Market
AECOM	218898	6020308	Market
AEGERION PHARMACEUTICALS INC	41	58000	Market
AEGION CORP	66347	2799463	Market
AEGLEA BIOTHERAPEUTICS INC	60	13810	Market
AEHR TEST SYSTEMS	10	4011	Market
AEMETIS INC	39	28403	Market
AEP INDS INC	15037	129519	Market
AERCAP HOLDINGS NV	63596	1528391	Market
AERIE PHARMACEUTICALS INC	61752	1631500	Market
AEROCENTURY CORP	2	249	Market
AEROHIVE NETWORKS INC	4381	768572	Market
AEROJET ROCKETDYNE HLDGS INC	111028	6185421	Market
AEROVIRONMENT INC	57291	2135338	Market
AES CORP	144835	12464259	Market
AETHLON MED INC	75	17902	Market
AETNA INC NEW	708026	5709427	Market
AEVI GENOMIC MEDICINE INC	4592	886435	Market
AFFILIATED MANAGERS GROUP	140309	965649	Market
AFLAC INC	398579	5726715	Market
AG MTG INVT TR INC	25736	1504153	Market
AGCO CORP	167393	2893071	Market
AGENUS INC	9682	2349955	Market
AGILE THERAPEUTICS INC	2474	434071	Market
AGILENT TECHNOLOGIES INC	279104	6126081	Market
AGILYSYS INC	12955	1250513	Market
AGIOS PHARMACEUTICALS INC	38272	917140	Market
AGNC INVT CORP	298123	16443643	Market
AGNICO EAGLE MINES LTD	7024	167249	Market
AGREE REALTY CORP	93441	2029121	Market
AGRIUM INC	971	9653	Market
AGROFRESH SOLUTIONS	1935	730088	Market
AIMMUNE THERAPEUTICS INC	27829	1360818	Market
AIR INDS GROUP	7	2278	Market
AIR LEASE CORP	36261	1056234	Market
AIR METHODS CORP	89039	2795559	Market
AIR PRODS & CHEMS INC	437964	3045225	Market
AIR T INC	6	253	Market
AIR TRANSPORT SERVICES GRP I	25248	1581963	Market
AIRCASTLE LTD	31848	1527476	Market
AIRGAIN INC	55	3851	Market
AK STL HLDG CORP	255957	25069234	Market
AKAMAI TECHNOLOGIES INC	212932	3193348	Market
AKAMAI TECHNOLOGIES INC	90	87000	Market
AKEBIA THERAPEUTICS INC	17739	1703987	Market
AKERS BIOSCIENCES INC	1	680	Market
AKORN INC	123895	5675428	Market
ALAMO GROUP INC	58249	765433	Market
ALAMOS GOLD INC NEW	159	23196	Market
ALARM COM HLDGS INC	8564	307721	Market
ALASKA AIR GROUP INC	239599	2700319	Market
ALASKA COMMUNICATIONS SYS GR	225	137222	Market
