CompanyName	Value(1000s)	Shares	OrderType
ACCENTURE PLC IRELAND	4485	36266	Market
ACUITY BRANDS INC	244	1202	Market
ADOBE SYS INC	11944	84446	Market
AES CORP	1124	101215	Market
AFLAC INC	619	7969	Market
AGCO CORP	248	3683	Market
AGNICO EAGLE MINES LTD	4597	101992	Market
AGRIUM INC	2508	27718	Market
ALBEMARLE CORP	1576	14937	Market
ALEXION PHARMACEUTICALS INC	778	6398	Market
ALLIANCE DATA SYSTEMS CORP	11785	45911	Market
ALLIANT ENERGY CORP	322	8019	Market
ALPHABET INC	4238	4559	Market
AMC NETWORKS INC	659	12339	Market
AMEREN CORP	487	8900	Market
AMERISOURCEBERGEN CORP	2057	21760	Market
AMGEN INC	4550	26416	Market
ANADARKO PETE CORP	1625	35846	Market
ANGLOGOLD ASHANTI LTD	873	89842	Market
ANSYS INC	458	3765	Market
APACHE CORP	1112	23197	Market
APARTMENT INVT & MGMT CO	846	19677	Market
APPLIED MATLS INC	8834	213847	Market
APTARGROUP INC	564	6497	Market
AT&T INC	3748	99339	Market
AUTOLIV INC	674	6140	Market
AUTOZONE INC	6707	11757	Market
AVERY DENNISON CORP	253	2866	Market
B2GOLD CORP	693	246612	Market
BALL CORP	478	11315	Market
BANK MONTREAL QUE	9356	127610	Market
BANK N S HALIFAX	15276	254318	Market
BARRICK GOLD CORP	4108	258611	Market
BCE INC	7062	157052	Market
BED BATH & BEYOND INC	31669	1041747	Market
BHP BILLITON LTD	3506	98497	Market
BIO TECHNE CORP	573	4878	Market
BIOGEN INC	12206	44981	Market
BLACKBERRY LTD	1184	118625	Market
BLOCK H & R INC	251	8117	Market
BORGWARNER INC	11920	281407	Market
BOSTON PROPERTIES INC	4911	39924	Market
BP PLC	3474	100272	Market
BRISTOL MYERS SQUIBB CO	7303	131064	Market
BROOKFIELD ASSET MGMT INC	7260	185392	Market
BROWN FORMAN CORP	257	5285	Market
C H ROBINSON WORLDWIDE INC	8665	126169	Market
CABOT OIL & GAS CORP	711	28355	Market
CAMECO CORP	997	109606	Market
CAMPBELL SOUP CO	4055	77766	Market
CANADIAN NAT RES LTD	9379	325234	Market
CANADIAN NATL RY CO	12067	149122	Market
CANADIAN PAC RY LTD	4901	30503	Market
CAPITAL ONE FINL CORP	1670	20219	Market
CARNIVAL CORP	7084	108036	Market
CBL & ASSOC PPTYS INC	150	17840	Market
CBS CORP NEW	1374	21535	Market
CDN IMPERIAL BK COMM TORONTO	5779	71219	Market
CELGENE CORP	5299	40801	Market
CENOVUS ENERGY INC	1602	217630	Market
CERNER CORP	337	5074	Market
CHARLES RIV LABS INTL INC	679	6709	Market
CHEESECAKE FACTORY INC	606	12056	Market
CHESAPEAKE ENERGY CORP	26111	5253784	Market
CHEVRON CORP NEW	3517	33706	Market
CHICOS FAS INC	182	19271	Market
CHIPOTLE MEXICAN GRILL INC	7239	17398	Market
