CompanyName	Value(1000s)	Shares	OrderType
51JOB INC	615	16777	Market
8X8 INC NEW	213	13967	Market
A10 NETWORKS INC	3336	364573	Market
AARONS INC	14710	494615	Market
ABBOTT LABS	6396	144013	Market
ABBOTT LABS	6462	145500	Call
ABBOTT LABS	4876	109800	Put
ABBVIE INC	78639	1206865	Market
ABBVIE INC	2743	42100	Call
ABBVIE INC	11520	176800	Put
ABERCROMBIE & FITCH CO	1243	104200	Call
ABERCROMBIE & FITCH CO	1354	113500	Put
ABIOMED INC	2305	18413	Market
ABRAXAS PETE CORP	1365	675724	Market
ACACIA RESH CORP	1285	223548	Market
ACCENTURE PLC IRELAND	2529	21100	Call
ACCENTURE PLC IRELAND	947	7900	Put
ACCESS NATL CORP	1501	49993	Market
ACCURAY INC	2800	589573	Market
ACETO CORP	1759	111265	Market
ACI WORLDWIDE INC	3212	150145	Market
ACORDA THERAPEUTICS INC	3556	169331	Market
ACTIVISION BLIZZARD INC	11096	222539	Market
ACTIVISION BLIZZARD INC	449	9000	Call
ACXIOM CORP	828	29089	Market
ADDUS HOMECARE CORP	1539	48096	Market
ADECOAGRO S A	6787	592256	Market
ADEPTUS HEALTH INC	676	375459	Market
ADIENT PLC	22815	313958	Market
ADOBE SYS INC	1097	8430	Market
ADVANCE AUTO PARTS INC	8821	59500	Call
ADVANCE AUTO PARTS INC	7116	48000	Put
ADVANCED DISP SVCS INC DEL	3498	154786	Market
ADVANCED DRAIN SYS INC DEL	2279	104062	Market
ADVANCED MICRO DEVICES INC	89403	6144502	Market
ADVANCED MICRO DEVICES INC	1077	74000	Call
ADVANCED MICRO DEVICES INC	1151	79100	Put
ADVANCED SEMICONDUCTOR ENGR	1415	218341	Market
ADVANCEPIERRE FOODS HLDGS IN	8796	282209	Market
ADVANSIX INC	2607	95428	Market
ADVANTAGE OIL & GAS LTD	180	27345	Market
ADVISORY BRD CO	8697	185838	Market
AEGEAN MARINE PETROLEUM NETW	3284	272512	Market
AEGION CORP	1529	66754	Market
AEGON N V	4292	836614	Market
AERCAP HOLDINGS NV	3439	74800	Call
AERCAP HOLDINGS NV	4128	89800	Put
AERIE PHARMACEUTICALS INC	11482	253190	Market
AEROHIVE NETWORKS INC	172	40952	Market
AEROJET ROCKETDYNE HLDGS INC	7909	364465	Market
AES CORP	40462	3619157	Market
AES CORP	2472	221100	Call
AES CORP	1798	160800	Put
AETNA INC NEW	35092	275120	Market
AETNA INC NEW	4184	32800	Call
AETNA INC NEW	3202	25100	Put
AFFILIATED MANAGERS GROUP	3728	22740	Market
AFFILIATED MANAGERS GROUP	2131	13000	Call
AFFILIATED MANAGERS GROUP	2525	15400	Put
AFLAC INC	21208	292843	Market
AG MTG INVT TR INC	1703	94328	Market
AGILYSYS INC	149	15770	Market
AGNC INVT CORP	1322	66470	Market
AGNICO EAGLE MINES LTD	26890	633352	Market
AGNICO EAGLE MINES LTD	1541	36300	Call
AGNICO EAGLE MINES LTD	1910	45000	Put
AGREE REALTY CORP	823	17154	Market
AGRIUM INC	67085	702148	Market
AIR LEASE CORP	966	24921	Market
AIR METHODS CORP	12032	279803	Market
AIR PRODS & CHEMS INC	73744	545078	Market
AIR TRANSPORT SERVICES GRP I	5001	311575	Market
AIRCASTLE LTD	4479	185628	Market
AK STL HLDG CORP	1251	174000	Call
AK STL HLDG CORP	870	121000	Put
AKAMAI TECHNOLOGIES INC	14772	247442	Market
ALAMO GROUP INC	564	7405	Market
ALARM COM HLDGS INC	4474	145556	Market
ALASKA AIR GROUP INC	1568	17000	Call
ALASKA AIR GROUP INC	1134	12300	Put
ALBANY INTL CORP	2498	54252	Market
ALBANY MOLECULAR RESH INC	2215	157860	Market
ALBEMARLE CORP	60158	569464	Market
ALCOA CORP	104413	3035252	Market
ALCOBRA LTD	25	21600	Market
ALEXANDER & BALDWIN INC NEW	303	6803	Market
ALEXANDERS INC	726	1680	Market
ALEXION PHARMACEUTICALS INC	52063	429420	Market
ALEXION PHARMACEUTICALS INC	764	6300	Call
ALEXION PHARMACEUTICALS INC	630	5200	Put
ALGONQUIN PWR UTILS CORP	24712	2585227	Market
ALIBABA GROUP HLDG LTD	9618	89200	Call
ALIBABA GROUP HLDG LTD	19453	180400	Put
ALIGN TECHNOLOGY INC	12951	112904	Market
ALIGN TECHNOLOGY INC	918	8000	Call
ALIGN TECHNOLOGY INC	1491	13000	Put
ALKERMES PLC	7886	134811	Market
ALLEGHANY CORP DEL	1891	3077	Market
ALLEGION PUB LTD CO	53084	701244	Market
ALLERGAN PLC	29937	125300	Call
ALLERGAN PLC	22912	95900	Put
ALLIED WRLD ASSUR COM HLDG A	16029	301865	Market
ALLISON TRANSMISSION HLDGS I	32188	892612	Market
ALLOT COMMUNICATIONS LTD	528	110999	Market
ALLSCRIPTS HEALTHCARE SOLUTN	717	56567	Market
ALLSTATE CORP	65455	803225	Market
ALLSTATE CORP	815	10000	Call
ALLSTATE CORP	3757	46100	Put
ALLY FINL INC	8963	440895	Market
ALMOST FAMILY INC	1413	29083	Market
ALNYLAM PHARMACEUTICALS INC	682	13300	Call
ALON USA ENERGY INC	1257	103131	Market
ALPHA & OMEGA SEMICONDUCTOR	2227	129564	Market
ALPHABET INC	94788	111805	Market
ALPHABET INC	19076	22500	Call
ALPHABET INC	25688	30300	Put
ALTISOURCE PORTFOLIO SOLNS S	512	13900	Market
ALTISOURCE RESIDENTIAL CORP	392	25692	Market
ALTRIA GROUP INC	99483	1392933	Market
AMARIN CORP PLC	3886	1214433	Market
AMAYA INC	3301	194317	Market
AMAZON COM INC	172276	194324	Market
AMAZON COM INC	11525	13000	Call
AMAZON COM INC	1773	2000	Put
AMBAC FINL GROUP INC	1157	61364	Market
AMBARELLA INC	222	4059	Market
AMBARELLA INC	870	15900	Call
AMBARELLA INC	821	15000	Put
AMBER RD INC	589	76309	Market
AMBEV SA	101	17603	Market
AMC ENTMT HLDGS INC	2593	82458	Market
AMC NETWORKS INC	11661	198722	Market
AMDOCS LTD	5144	84347	Market
AMEREN CORP	835	15300	Call
AMEREN CORP	912	16700	Put
AMERESCO INC	488	74531	Market
AMERICAN AIRLS GROUP INC	1354	32000	Call
AMERICAN AIRLS GROUP INC	1396	33000	Put
AMERICAN ASSETS TR INC	476	11367	Market
AMERICAN EAGLE OUTFITTERS NE	220	15698	Market
AMERICAN EAGLE OUTFITTERS NE	398	28400	Call
AMERICAN EAGLE OUTFITTERS NE	415	29600	Put
AMERICAN ELEC PWR INC	46580	693871	Market
AMERICAN ELEC PWR INC	4269	63600	Call
AMERICAN ELEC PWR INC	12198	181700	Put
AMERICAN EQTY INVT LIFE HLD	698	29518	Market
AMERICAN FINL GROUP INC OHIO	3519	36884	Market
AMERICAN HOMES 4 RENT	35739	1556558	Market
AMERICAN INTL GROUP INC	656	10509	Market
AMERICAN OUTDOOR BRANDS CORP	254	12800	Call
AMERICAN SUPERCONDUCTOR CORP	226	32943	Market
AMERICAN TOWER CORP NEW	170418	1402154	Market
AMERICAN TOWER CORP NEW	6928	57000	Call
AMERICAN TOWER CORP NEW	11668	96000	Put
AMERICAN WTR WKS CO INC NEW	2641	33965	Market
AMERISAFE INC	1428	22003	Market
AMERISOURCEBERGEN CORP	244	2762	Market
AMERISOURCEBERGEN CORP	1080	12200	Call
AMERISOURCEBERGEN CORP	1593	18000	Put
AMETEK INC NEW	6908	127734	Market
AMGEN INC	61141	372653	Market
AMGEN INC	2297	14000	Call
AMGEN INC	2937	17900	Put
AMKOR TECHNOLOGY INC	16478	1421777	Market
AMTRUST FINL SVCS INC	8197	444036	Market
ANADARKO PETE CORP	5648	91100	Call
ANADARKO PETE CORP	6467	104300	Put
ANALOG DEVICES INC	48968	597535	Market
ANALOGIC CORP	6220	81955	Market
ANDERSONS INC	1867	49270	Market
ANGIES LIST INC	251	44060	Market
ANGIODYNAMICS INC	3924	226172	Market
ANGLOGOLD ASHANTI LTD	1355	125828	Market
ANGLOGOLD ASHANTI LTD	355	33000	Put
ANHEUSER BUSCH INBEV SA/NV	933	8500	Call
ANHEUSER BUSCH INBEV SA/NV	2118	19300	Put
ANIKA THERAPEUTICS INC	1544	35532	Market
ANIXTER INTL INC	409	5160	Market
ANNALY CAP MGMT INC	76204	6859019	Market
ANNALY CAP MGMT INC	111	10000	Put
ANTERO RES CORP	6131	268800	Call
ANTERO RES CORP	5883	257900	Put
ANWORTH MORTGAGE ASSET CP	3126	563218	Market
AON PLC	6450	54343	Market
APACHE CORP	5190	101000	Call
APACHE CORP	6773	131800	Put
APARTMENT INVT & MGMT CO	10383	234123	Market
APOLLO GLOBAL MGMT LLC	41387	1701763	Market
APOLLO GLOBAL MGMT LLC	790	32500	Call
APOLLO GLOBAL MGMT LLC	803	33000	Put
APOLLO INVT CORP	6233	950145	Market
APPFOLIO INC	807	29666	Market
APPLE INC	28434	197924	Market
APPLIED MATLS INC	40100	1030840	Market
APPLIED MATLS INC	700	18000	Put
APPLIED OPTOELECTRONICS INC	12485	222343	Market
APTARGROUP INC	11761	152759	Market
AQUA AMERICA INC	5986	186181	Market
ARAMARK	44315	1201937	Market
ARBOR RLTY TR INC	1552	185215	Market
ARC DOCUMENT SOLUTIONS INC	654	189500	Market
ARCBEST CORP	683	26269	Market
ARCELORMITTAL SA LUXEMBOURG	3396	406695	Market
ARCHER DANIELS MIDLAND CO	4846	105257	Market
ARCHER DANIELS MIDLAND CO	2914	63300	Call
ARCHER DANIELS MIDLAND CO	3278	71200	Put
ARCONIC INC	63313	2403692	Market
ARCOS DORADOS HOLDINGS INC	5510	684435	Market
ARENA PHARMACEUTICALS INC	457	312833	Market
ARES CAP CORP	53553	3081273	Market
ARES COML REAL ESTATE CORP	725	54205	Market
ARGAN INC	2082	31470	Market
ARGO GROUP INTL HLDGS LTD	1629	24028	Market
ARISTA NETWORKS INC	32172	243229	Market
ARMADA HOFFLER PPTYS INC	489	35190	Market
ARMOUR RESIDENTIAL REIT INC	3165	139362	Market
ARMSTRONG FLOORING INC	379	20600	Market
ARMSTRONG WORLD INDS INC NEW	18708	406259	Market
ARRAY BIOPHARMA INC	20406	2282600	Market
ARROW FINL CORP	632	18633	Market
ASCENA RETAIL GROUP INC	750	175962	Market
ASCENA RETAIL GROUP INC	130	30400	Call
ASCENT CAP GROUP INC	248	17541	Market
ASHFORD HOSPITALITY PRIME IN	3111	293225	Market
